Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
nu,H^+,2,W^+,vl,nu -- (l) -- W^+ -- (v) -- H^+, 1l + 1v,"{'vX', 'vl'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
nu,H^+,2,W^0,vX,nu -- (X) -- W^0 -- (v) -- H^+, 1v + MET,"{'vX', 'vl'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
nu,H^0,2,B,vX,nu -- (X) -- B -- (v) -- H^0, 1v + MET,"{'vX', 'vl'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
nu,H^0,2,W^+,vl,nu -- (l) -- W^+ -- (v) -- H^0, 1l + 1v,"{'vX', 'vl'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
nu,H^0,2,W^0,vX,nu -- (X) -- W^0 -- (v) -- H^0, 1v + MET,"{'vX', 'vl'}","['vX', 'vl']","[1, 1]","['vX', 'vl']"
nu,q,2,B,jX,nu -- (X) -- B -- (j) -- q, 1j_l + MET,"{'jX', 'jl'}","['jl', 'jX']","[1, 1]","['jl', 'jX']"
nu,q,2,W^+,jl,nu -- (l) -- W^+ -- (j) -- q, 1j_l + 1l,"{'jX', 'jl'}","['jl', 'jX']","[1, 1]","['jl', 'jX']"
nu,q,2,W^0,jX,nu -- (X) -- W^0 -- (j) -- q, 1j_l + MET,"{'jX', 'jl'}","['jl', 'jX']","[1, 1]","['jl', 'jX']"
nu,d,2,B,jX,nu -- (X) -- B -- (j) -- d, 1j_l + MET,{'jX'},['jX'],[1],['jX']
nu,u,2,B,jX,nu -- (X) -- B -- (j) -- u, 1j_l + MET,{'jX'},['jX'],[1],['jX']
