Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 Q D,nu_tau,q,jjTX,"['nu_tau -- (X) -- B -- (j) -- q -- [T,j]', 'nu_tau -- (X) -- W^0 -- (j) -- q -- [T,j]']",2, 2j_l + 1tau + MET
L_3 Q D,nu_tau,d,jjTX,"['nu_tau -- (X) -- B -- (j) -- d -- [T,j]']",2, 2j_l + 1tau + MET
L_3 Q D,nu_tau,nu_tau,jj,"['nu_tau -- [j,j]']",0, 2j_l
L_3 Q D,nu_tau,q,jjTX,"['nu_tau -- (T) -- W^+ -- (j) -- q -- [X,j]']",2, 2j_l + 1tau + MET
L_3 Q D,nu_tau,q,jjX,"['nu_tau -- (X) -- W^0 -- (j) -- q -- [X,j]', 'nu_tau -- (X) -- B -- (j) -- q -- [X,j]']",2, 2j_l + MET
L_3 Q D,nu_tau,d,jjX,"['nu_tau -- (X) -- B -- (j) -- d -- [X,j]']",2, 2j_l + MET
L_3 Q D_3,nu_tau,q,bjTT,"['nu_tau -- (T) -- W^+ -- (j) -- q -- [T,b]']",2, 1j_l + 1b + 2tau
L_3 Q D_3,nu_tau,q,bjTX,"['nu_tau -- (X) -- B -- (j) -- q -- [T,b]', 'nu_tau -- (X) -- W^0 -- (j) -- q -- [T,b]']",2, 1j_l + 1b + 1tau + MET
L_3 Q D_3,nu_tau,b,bjTX,"['nu_tau -- (X) -- B -- (b) -- b -- [T,j]']",2, 1j_l + 1b + 1tau + MET
L_3 Q D_3,nu_tau,nu_tau,bj,"['nu_tau -- [j,b]']",0, 1j_l + 1b
L_3 Q D_3,nu_tau,q,bjTX,"['nu_tau -- (T) -- W^+ -- (j) -- q -- [X,b]']",2, 1j_l + 1b + 1tau + MET
L_3 Q D_3,nu_tau,q,bjX,"['nu_tau -- (X) -- W^0 -- (j) -- q -- [X,b]', 'nu_tau -- (X) -- B -- (j) -- q -- [X,b]']",2, 1j_l + 1b + MET
